Transaction_ID,Date,Customer_ID,Product_Category,Sales_Amount,Region
TXN-00001,10/09/2024,C-0486,Fashion,38926,Phuket
TXN-00002,08/09/2024,C-0356,Sports,14931,Chonburi
TXN-00003,15/08/2024,C-0431,Electronics,17885,Bangkok
TXN-00004,12/02/2024,C-0455,Electronics,32252,Khon Kaen
TXN-00005,22/04/2024,C-0756,Electronics,48574,Phuket
TXN-00006,20/05/2024,C-0661,Beauty,9137,Bangkok
TXN-00007,27/05/2024,C-0022,Home & Living,6313,Khon Kaen
TXN-00008,22/08/2024,C-0299,Electronics,47901,Chiang Mai
TXN-00009,10/09/2024,C-0194,Sports,709,Chonburi
TXN-00010,27/02/2024,C-0065,Fashion,32657,Chiang Mai
TXN-00011,17/05/2024,C-0023,Sports,14167,Bangkok
TXN-00012,06/07/2024,C-0893,Electronics,3043,Chiang Mai
TXN-00013,22/01/2024,C-0822,Beauty,17740,Chiang Mai
TXN-00014,13/08/2024,C-0238,Electronics,41854,Bangkok
TXN-00015,05/08/2024,C-0855,Sports,42293,Khon Kaen
TXN-00016,30/11/2024,C-0971,Electronics,35264,Chiang Mai
TXN-00017,01/06/2024,C-0533,Electronics,12300,Phuket
TXN-00018,17/01/2024,C-0661,Fashion,15697,Bangkok
TXN-00019,27/06/2024,C-0344,Fashion,44276,Bangkok
TXN-00020,14/02/2024,C-0422,Fashion,41789,Khon Kaen
TXN-00021,01/03/2024,C-0593,Beauty,23904,Phuket
TXN-00022,01/05/2024,C-0352,Beauty,19860,Chiang Mai
TXN-00023,28/10/2024,C-0672,Electronics,7864,Chonburi
TXN-00024,29/12/2024,C-0662,Home & Living,49977,Bangkok
TXN-00025,07/08/2024,C-0806,Fashion,27998,Bangkok
TXN-00026,12/03/2024,C-0335,Fashion,21825,Bangkok
TXN-00027,15/04/2024,C-0498,Beauty,28343,Chiang Mai
TXN-00028,18/10/2024,C-0608,Electronics,30956,Bangkok
TXN-00029,23/05/2024,C-0682,Beauty,43793,Bangkok
TXN-00030,27/03/2024,C-0714,Sports,46176,Chiang Mai
TXN-00031,26/12/2024,C-0543,Home & Living,8892,Chonburi
TXN-00032,20/10/2024,C-0863,Beauty,32202,Chonburi
TXN-00033,20/09/2024,C-0562,Fashion,32558,Bangkok
TXN-00034,13/12/2024,C-0456,Sports,45537,Phuket
TXN-00035,10/03/2024,C-0469,Fashion,19566,Phuket
TXN-00036,29/07/2024,C-0312,Beauty,14597,Chiang Mai
TXN-00037,21/05/2024,C-0581,Beauty,27304,Bangkok
TXN-00038,05/03/2024,C-0136,Sports,21680,Chiang Mai
TXN-00039,08/03/2024,C-0920,Home & Living,21315,Chiang Mai
TXN-00040,30/12/2024,C-0809,Beauty,29463,Bangkok
TXN-00041,06/05/2024,C-0314,Electronics,17585,Bangkok
